Product Name,Price,Rating,Total Reviews,Delivery,Page
BAGSMART,N/A,4.5,0,BAGSMART,3
BAGSMART,$19.99,4.4,0,BAGSMART,3
BAGSMART,$11.98,4.7,0,BAGSMART,3
BAGSMART,$32.99,4.4,0,BAGSMART,3
BAGSMART,$35.49,4.5,0,BAGSMART,3
BAGSMART,$21.99,4.5,0,BAGSMART,3
BAGSMART,$19.99,4.4,0,BAGSMART,3
BAGSMART,$59.99,4.7,0,BAGSMART,3
BAGSMART,$19.99,4.2,0,BAGSMART,3
BAGSMART,$14.99,4.4,0,BAGSMART,3
BAGSMART,$24.99,4.7,0,BAGSMART,3
BAGSMART,$21.99,4.7,0,BAGSMART,3
BAGSMART,$12.99,4.6,0,BAGSMART,3
BAGSMART,$19.99,4.6,0,BAGSMART,3
BAGSMART,$16.99,4.3,0,BAGSMART,3
BAGSMART,$9.99,4.4,0,BAGSMART,3
BAGSMART,$9.99,4.6,0,BAGSMART,3
BAGSMART,$14.99,4.6,0,BAGSMART,3
BAGSMART,$11.99,4.4,0,BAGSMART,3
BAGSMART,$49.99,4.6,0,BAGSMART,3
BAGSMART,$26.99,4.6,0,BAGSMART,3
BAGSMART,$19.99,4.6,0,BAGSMART,3
BAGSMART,$15.99,4.6,0,BAGSMART,3
BAGSMART,$15.99,4.6,0,BAGSMART,3
BAGSMART,$49.99,4.2,0,BAGSMART,3
BAGSMART,$20.99,4.7,0,BAGSMART,3
BAGSMART,$24.49,4.8,0,BAGSMART,3
